"STATE","STATE_ABBREVIATION","DATE_CREATED","DATE_UPDATED","STATE_ID"
"New York","NY",2024-11-07 20.01.49.586000000 -05:00,,9D5DF96B62B14CA0A7E99231FE9FCEA5
"California","CA",2024-11-07 20.01.49.586000000 -05:00,,B51FD598B90049CCB9ED6D3960AF5D42
"Illinois","IL",2024-11-07 20.01.49.586000000 -05:00,,D437FD81D0C74D8EB68794BEE076924C
"Florida","FL",2024-11-07 20.01.49.586000000 -05:00,,14673E5836084EF58EF7C6D33C09B3A9
"Texas","TX",2024-11-07 20.01.49.586000000 -05:00,,6DEFDD89948A4A6380704F1D6EDF942F
"Pennsylvania","PA",2024-11-07 20.01.49.586000000 -05:00,,511B0C8BAA024F6BA397E852B1342EA9
"Georgia","GA",2024-11-07 20.01.49.586000000 -05:00,,89C754FD3C5C483ABA5C7CEA0762B7C5
"District of Columbia","DC",2024-11-07 20.01.49.586000000 -05:00,,7AE0517665314E569F0F728C52C35C2F
"Massachusetts","MA",2024-11-07 20.01.49.586000000 -05:00,,A3A1BFF0C9F4434EAA1A6A028121136C
"Arizona","AZ",2024-11-07 20.01.49.586000000 -05:00,,E82A2C1A9B6A43658593921B3A9E29D0
"Washington","WA",2024-11-07 20.01.49.586000000 -05:00,,76DE0BAB75204CD5B081584A0BC2FD1C
"Michigan","MI",2024-11-07 20.01.49.586000000 -05:00,,4755E0852DA04812B4C6FD001C4AE018
"Minnesota","MN",2024-11-07 20.01.49.586000000 -05:00,,52188ED3F23A45029CDE2AEB7016DDB7
"Colorado","CO",2024-11-07 20.01.49.586000000 -05:00,,AE8A1EF4CD45455BA9764E40243C1103
"Maryland","MD",2024-11-07 20.01.49.586000000 -05:00,,EAB765E97FED448AAABBCF060411DD70
"Nevada","NV",2024-11-07 20.01.49.586000000 -05:00,,5E417EFAB78C4C218ED9225097844A03
"Oregon","OR",2024-11-07 20.01.49.586000000 -05:00,,A41A7F64245B4A86AF7AFD02502BB53D
"Missouri","MO",2024-11-07 20.01.49.586000000 -05:00,,44D8BC7AB91E4357B20792EA395B54FD
"Ohio","OH",2024-11-07 20.01.49.586000000 -05:00,,E10033DE87FA4D57BA77431396DFB0CC
"Indiana","IN",2024-11-07 20.01.49.586000000 -05:00,,3FCC4750696F4B1899CE04E951DFC451
"North Carolina","NC",2024-11-07 20.01.49.586000000 -05:00,,B3DE46A9208847CA95CFB944BE01E382
"Virginia","VA",2024-11-07 20.01.49.586000000 -05:00,,A37720E3D2D64CCEBE9CFC1D64B0E069
"Wisconsin","WI",2024-11-07 20.01.49.586000000 -05:00,,C0657AB78C5740A898BA3D92922544F6
"Rhode Island","RI",2024-11-07 20.01.49.586000000 -05:00,,128D6F8796C049468D3452D5DBBA804D
"Utah","UT",2024-11-07 20.01.49.586000000 -05:00,,B0696406892341629113CDB4F46C0F74
"Tennessee","TN",2024-11-07 20.01.49.586000000 -05:00,,6CAE9E2E4F2C43FEBE1283DB3B15785C
"Louisiana","LA",2024-11-07 20.01.49.586000000 -05:00,,AF5537530FC74373B4C9523D286E8854
"Kentucky","KY",2024-11-07 20.01.49.586000000 -05:00,,DE6397E2CBBE4A6DA13441B7D704136D
"Oklahoma","OK",2024-11-07 20.01.49.586000000 -05:00,,00947726F36247E9BEAE52D26BE72818
"Connecticut","CT",2024-11-07 20.01.49.586000000 -05:00,,27AD6C8BC6184785A4F0CAE6E88FA608
"Nebraska","NE",2024-11-07 20.01.49.586000000 -05:00,,38A6DB7F7A5349829DAEDB58709B20C8
"Hawaii","HI",2024-11-07 20.01.49.586000000 -05:00,,D8BB3BE1A8A7402FBF2B5BFEF08D059F
"New Mexico","NM",2024-11-07 20.01.49.586000000 -05:00,,3ADD5AB356B8470097799D194841D119
"Alabama","AL",2024-11-07 20.01.49.586000000 -05:00,,1C80069E5F1E495A89D725D954623D40
"South Carolina","SC",2024-11-07 20.01.49.586000000 -05:00,,BAAB0F0D07F9432FB89254A0CE2BDA69
"Kansas","KS",2024-11-07 20.01.49.586000000 -05:00,,1DBE8B8827E04FB0902861CCA6D4A6B7
"Iowa","IA",2024-11-07 20.01.49.586000000 -05:00,,46BB39AE9C0741BAA89364700E856A8E
"Arkansas","AR",2024-11-07 20.01.49.586000000 -05:00,,20E94C02CC664330B432271FA9312F6B
"Idaho","ID",2024-11-07 20.01.49.586000000 -05:00,,994A50B55F2C4A51996553BF5932D2BA
"Mississippi","MS",2024-11-07 20.01.49.586000000 -05:00,,3C5D2728E0DD4E23B0E50D6CB13C57BC
"Puerto Rico","PR",2024-11-07 20.01.49.586000000 -05:00,,E26CB9AEB6DF4721B3E8B0D54A7369A3
"New Jersey","NJ",2024-11-07 20.01.49.586000000 -05:00,,D2BAE1D5FA0F4D8B89144694EF146AD0
"Alaska","AK",2024-11-07 20.01.49.586000000 -05:00,,F5EB9DAEB47F48E69C5FB4748306394A
"New Hampshire","NH",2024-11-07 20.01.49.586000000 -05:00,,487A2045D8BA4FB2B2A80A69A0E08918
"North Dakota","ND",2024-11-07 20.01.49.586000000 -05:00,,55898708D2924B59B4E63B2388A871FA
"Maine","ME",2024-11-07 20.01.49.586000000 -05:00,,AEBE9D1D64BE4943811E87BC4EB26396
"South Dakota","SD",2024-11-07 20.01.49.586000000 -05:00,,E8EB956EAA284C1E8BFE78ED2E31AD11
"West Virginia","WV",2024-11-07 20.01.49.586000000 -05:00,,5D73CB7BE1294B30A8F9D4319ACD17E2
"Montana","MT",2024-11-07 20.01.49.586000000 -05:00,,C244E4C00CA14EECBACFCDDC376724D0
"Delaware","DE",2024-11-07 20.01.49.586000000 -05:00,,FC3C82C7C9834478AB537AC4CE821630
"Vermont","VT",2024-11-07 20.01.49.586000000 -05:00,,40DCC7AC827941509C4BE1DBE5FFC414
"Wyoming","WY",2024-11-07 20.01.49.586000000 -05:00,,03C8A88DF4234846A019EA2371BE78D5
